#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
292	816.571	8046.74	0	4568.01	58316	70930.8
293	816.571	8052.79	0	4574.99	58316	70943.8
294	816.571	8021.09	0	4553.64	58316	70890.8
295	816.571	7973.16	0	4534.74	58316	70823.9
296	816.571	7875.81	0	4507.86	58316	70699.7
297	816.571	7850.07	0	4505.93	58316	70672
298	816.571	7782.22	0	4474.97	58316	70573.2
299	816.571	7794.97	0	4458.59	58316	70569.6
300	816.571	7770.27	0	4443.68	57890.5	70104.4
301	816.571	7760.04	0	4432.23	57890.5	70082.7
302	816.571	7784.97	0	4441.21	57890.5	70116.7
303	816.571	7773.16	0	4417.41	57890.5	70081.1
304	816.571	7775.74	0	4424.28	57890.5	70090.5
305	816.571	7741.65	0	4422.28	57890.5	70054.4
306	816.571	7729.34	0	4424.59	57890.5	70044.4
307	816.571	7776.38	0	4428.69	57890.5	70095.5
308	816.571	7771.28	0	4450.11	57890.5	70111.9
309	816.571	7720.71	0	4445.78	57890.5	70057
310	816.571	7749.58	0	4497.59	57890.5	70137.6
311	816.571	7754.5	0	4500.7	57890.5	70145.7
312	816.571	7731.88	0	4475.48	57890.5	70097.8
313	816.571	7716.74	0	4477.18	57890.5	70084.4
314	816.571	7771.99	0	4515.28	58316	70603.3
315	816.571	7805.72	0	4546.07	58747.7	71099.5
316	816.571	7739.06	0	4533.65	58747.7	71020.4
317	816.571	7713.98	0	4542.19	58747.7	71003.9
318	816.571	7723.45	0	4526.58	58747.7	70997.7
319	816.571	7687.85	0	4507.23	58316	70511.1
320	816.571	7742.3	0	4498.87	58316	70557.2
321	816.571	7724.11	0	4483.71	58316	70523.8
322	816.571	7829.08	0	4469.22	58316	70614.3
323	816.571	7814.28	0	4450.26	58316	70580.6
324	816.571	7804.22	0	4432.84	58316	70553.1
325	816.571	7845.52	0	4419.93	58316	70581.5
326	816.571	7796.32	0	4445.74	58316	70558.1
327	816.571	7805.93	0	4463	58316	70584.9
328	816.571	7970.97	0	4465.06	58316	70752.1
329	816.571	7951.36	0	4452.23	58316	70719.6
330	816.571	7875.96	0	4481.58	58316	70673.6
331	816.571	7862.38	0	4462.94	57890.5	70215.8
332	816.571	7939.46	0	4505.1	57890.5	70335
333	816.571	7886.02	0	4523.45	57890.5	70299.9
334	816.571	7891.17	0	4518.37	57890.5	70300
335	816.571	7909	0	4539.05	57890.5	70338.5
336	816.571	7943.86	0	4531.8	57890.5	70366.1
337	816.571	7920.71	0	4506.15	57470.9	69897.8
338	816.571	7926.69	0	4511.55	57470.9	69909.1
339	816.571	7917.75	0	4513.45	57470.9	69902.1
340	816.571	7923.12	0	4507.82	57470.9	69901.8
341	816.571	7935.15	0	4524.05	57470.9	69930.1
342	816.571	7941.02	0	4562.17	57470.9	69974.1
343	816.571	7944.41	0	4555.65	57470.9	69970.9
344	816.571	7940.56	0	4560.15	57470.9	69971.6
345	816.571	7884.16	0	4565.33	57470.9	69920.4
346	816.571	7861.12	0	4563.09	57470.9	69895.1
347	816.571	7889.67	0	4539.4	56648.9	69078
348	816.571	7891.61	0	4537.24	56246.2	68675.1
349	816.571	7883.31	0	4529.87	56246.2	68659.4
350	816.571	7869.59	0	4492.07	56246.2	68607.9
351	816.571	7930.58	0	4489.72	56246.2	68666.5
352	816.571	7932.6	0	4509.82	56246.2	68688.6
353	816.571	7844.38	0	4496.54	56246.2	68587.2
354	816.571	7830.7	0	4465.84	56246.2	68542.8
355	816.571	7910.7	0	4450.98	56246.2	68607.9
356	816.571	7902.71	0	4443.48	56246.2	68592.4
357	816.571	8022.9	0	4452.24	56648.9	69124.1
358	816.571	8176.52	0	4448.03	45867.7	58492.2
359	816.571	8118.99	0	4431.92	45867.7	58418.6
360	816.571	8031.27	0	4412.01	45586	58029.3
