#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
224	804.897	7090.09	0	4857.89	60081.2	72029.2
225	804.897	7080.89	0	4844.4	60081.2	72006.5
226	804.897	7072.54	0	4839.84	60081.2	71993.6
227	804.897	7076.48	0	4845.38	60081.2	72003.1
228	804.897	7075.1	0	4830.71	60081.2	71987
229	804.897	7056.89	0	4828.28	60081.2	71966.4
230	804.897	7017.39	0	4818.73	60081.2	71917.4
231	804.897	7041.56	0	4792.36	59630.1	71464
232	804.897	7031.52	0	4802.87	59630.1	71464.5
233	804.897	7037.01	0	4841.43	61004.4	72882.8
234	804.897	7064.71	0	4860.22	61004.4	72929.3
235	804.897	7056.17	0	4839.77	61004.4	72900.3
236	804.897	7050.91	0	4813.84	61004.4	72869.1
237	804.897	7084.53	0	4802.01	60539.3	72425.8
238	804.897	6949.4	0	4802.97	60539.3	72291.6
239	804.897	6978.53	0	4847.66	60539.3	72365.5
240	804.897	6939.15	0	4844.67	60539.3	72323.1
241	804.897	6962.2	0	4832.27	60539.3	72333.7
242	804.897	6945.01	0	4795.94	60539.3	72280.2
243	804.897	6946.55	0	4795.65	60539.3	72281.5
244	804.897	6939.14	0	4792.55	60539.3	72270.9
245	804.897	6933.04	0	4771.33	60539.3	72243.6
246	804.897	6996.27	0	4787.68	60539.3	72323.2
247	804.897	7029.33	0	4787.15	60539.3	72355.7
248	804.897	7053.35	0	4808.38	60539.3	72401
249	804.897	7055.27	0	4794.77	60539.3	72389.3
250	804.897	7049.48	0	4818.73	61004.4	72872.6
251	804.897	6898.82	0	4791.76	61004.4	72695
252	804.897	6880.35	0	4772.05	61004.4	72656.8
253	804.897	6847.49	0	4743.89	61004.4	72595.8
254	804.897	6801.03	0	4722.89	61004.4	72528.3
255	804.897	6756.9	0	4730.8	61004.4	72492.1
256	804.897	6751.54	0	4696.76	61004.4	72452.7
257	804.897	6787.53	0	4720.88	60539.3	72047.7
258	804.897	6763.06	0	4702.69	60539.3	72005
259	804.897	6758.99	0	4694.05	60539.3	71992.3
260	804.897	6781.23	0	4696.16	60539.3	72016.6
261	804.897	6778.21	0	4695.25	60539.3	72012.7
262	804.897	6773.5	0	4695.38	60539.3	72008.1
263	804.897	6747.9	0	4708.65	60539.3	71995.8
264	804.897	6726.16	0	4656.4	60081.2	71463.8
265	804.897	6794.61	0	4691.95	60539.3	72025.8
266	804.897	6739.06	0	4678.56	60539.3	71956.9
267	804.897	6545.74	0	4664.33	60081.2	71291.3
268	804.897	6562.28	0	4675.72	60081.2	71319.2
269	804.897	6583.77	0	4683.13	60081.2	71348.1
270	804.897	6614.68	0	4689.03	60081.2	71384.9
271	804.897	6572.11	0	4648.56	60081.2	71301.9
272	804.897	6574.43	0	4649.76	60081.2	71305.4
273	804.897	6488.48	0	4628.44	60081.2	71198.2
274	804.897	6419.94	0	4584.79	60081.2	71086
275	804.897	6422.23	0	4600.93	60081.2	71104.4
276	804.897	6408.03	0	4603.43	60081.2	71092.7
